indiv_ind_ts_code,indiv_ind_trade_date,indiv_ind_close,indiv_ind_open,indiv_ind_high,indiv_ind_low,indiv_ind_pre_close,indiv_ind_change,indiv_ind_pct_chg,indiv_ind_vol,indiv_ind_amount
000905.SH,20250606,5762.0778,5768.3989,5771.7558,5750.6592,5769.9675,-7.8897,-0.1367,108217660.0,148022372.105
000905.SH,20250605,5769.9675,5741.0298,5778.0959,5719.5466,5739.0058,30.9617,0.5395,125223584.0,174970104.156
000905.SH,20250604,5739.0058,5696.5692,5744.4543,5696.5692,5694.8385,44.1673,0.7756,116196077.0,150314940.398
000905.SH,20250603,5694.8385,5653.6747,5710.4203,5653.2978,5671.0723,23.7662,0.4191,122853903.0,159996843.5
000905.SH,20250530,5671.0723,5704.771,5704.771,5665.5177,5719.9101,-48.8378,-0.8538,109900707.0,137670579.254
000905.SH,20250529,5719.9101,5637.0633,5724.5185,5637.0633,5637.2378,82.6723,1.4665,114682484.0,148095092.966
000905.SH,20250528,5637.2378,5651.8755,5660.4696,5628.4165,5652.1454,-14.9076,-0.2638,94908883.0,119959827.369
000905.SH,20250527,5652.1454,5666.3027,5667.871,5629.1343,5669.4609,-17.3155,-0.3054,95149363.0,125275690.002
000905.SH,20250526,5669.4609,5653.2063,5693.625,5644.5794,5653.0436,16.4173,0.2904,97170989.0,127343603.494
000905.SH,20250523,5653.0436,5697.1362,5738.0829,5653.0436,5703.2797,-50.2361,-0.8808,114361198.0,148123602.871
000905.SH,20250522,5703.2797,5739.1909,5757.7946,5701.1614,5757.9225,-54.6428,-0.949,109057720.0,141620883.824
000905.SH,20250521,5757.9225,5741.6885,5763.0788,5733.8275,5747.367,10.5555,0.1837,115804542.0,155147378.006
000905.SH,20250520,5747.367,5723.5055,5759.4582,5707.8101,5720.7949,26.5721,0.4645,116896615.0,151751185.854
000905.SH,20250519,5720.7949,5719.4381,5729.0703,5669.7208,5715.8491,4.9458,0.0865,115384939.0,141098692.009
000905.SH,20250516,5715.8491,5703.7354,5735.0121,5703.7354,5715.2966,0.5525,0.0097,116709136.0,141882122.896
000905.SH,20250515,5715.2966,5786.7833,5786.7833,5715.2938,5799.1191,-83.8225,-1.4454,135160768.0,165136693.964
000905.SH,20250514,5799.1191,5778.0791,5835.4912,5750.5367,5781.6683,17.4508,0.3018,156279994.0,188145126.84
000905.SH,20250513,5781.6683,5838.0341,5838.0341,5772.0723,5793.6743,-12.006,-0.2072,138271081.0,194252270.527
000905.SH,20250512,5793.6743,5751.4372,5794.5161,5737.4622,5721.7225,71.9518,1.2575,135824367.0,199426833.721
000905.SH,20250509,5721.7225,5770.441,5770.441,5705.1654,5773.8056,-52.0831,-0.9021,123939007.0,178162276.68
000905.SH,20250508,5773.8056,5731.7157,5783.7915,5724.9511,5750.2911,23.5145,0.4089,136140322.0,187032631.459
000905.SH,20250507,5750.2911,5805.656,5819.2422,5713.2734,5740.3338,9.9573,0.1735,171011757.0,227566204.818
000905.SH,20250506,5740.3338,5668.8762,5740.3338,5666.4698,5631.8249,108.5089,1.9267,162773606.0,217059975.785
000905.SH,20250430,5631.8249,5604.6537,5647.7821,5603.1718,5604.9057,26.9192,0.4803,138386621.0,181616584.523
000905.SH,20250429,5604.9057,5583.7186,5622.022,5571.2363,5598.2951,6.6106,0.1181,126742927.0,158033003.94
000905.SH,20250428,5598.2951,5624.4166,5628.0778,5587.7857,5627.1804,-28.8853,-0.5133,136218094.0,167616287.077
000905.SH,20250425,5627.1804,5613.1407,5661.5869,5596.5266,5605.8796,21.3008,0.38,140000800.0,171933817.273
000905.SH,20250424,5605.8796,5633.024,5651.5343,5583.4302,5634.9487,-29.0691,-0.5159,122696696.0,157899194.341
000905.SH,20250423,5634.9487,5647.9148,5670.2595,5614.7677,5624.209,10.7397,0.191,127007764.0,177991292.765
000905.SH,20250422,5624.209,5634.8936,5651.5541,5617.8786,5642.3805,-18.1715,-0.3221,124666689.0,164464321.327
000905.SH,20250421,5642.3805,5556.5126,5646.2179,5535.6994,5560.7207,81.6598,1.4685,123111883.0,160264813.234
000905.SH,20250418,5560.7207,5546.9666,5579.4791,5525.4046,5557.0105,3.7102,0.0668,111644258.0,139804146.812
000905.SH,20250417,5557.0105,5527.5905,5604.6198,5526.8881,5556.8642,0.1463,0.0026,113652382.0,148283242.243
000905.SH,20250416,5556.8642,5589.7769,5592.6741,5492.6546,5602.534,-45.6698,-0.8152,132537224.0,163751037.65
000905.SH,20250415,5602.534,5625.0005,5626.677,5567.0271,5627.1375,-24.6035,-0.4372,123273708.0,161900884.813
000905.SH,20250414,5627.1375,5633.7792,5661.8049,5608.7297,5581.3184,45.8191,0.8209,155487077.0,207470466.691
000905.SH,20250411,5581.3184,5514.188,5631.5954,5510.8949,5544.0646,37.2538,0.672,164411663.0,227659789.696
000905.SH,20250410,5544.0646,5534.559,5610.1895,5513.9544,5439.7716,104.293,1.9172,211963035.0,268666431.277
000905.SH,20250409,5439.7716,5249.6841,5465.1449,5135.9655,5326.914,112.8576,2.1186,245118027.0,288257435.804
000905.SH,20250408,5326.914,5279.7566,5371.1834,5249.2318,5287.0333,39.8807,0.7543,223840665.0,261875349.4
000905.SH,20250407,5287.0333,5523.9636,5587.8502,5212.6773,5845.5045,-558.4712,-9.5539,236522656.0,267397400.609
000905.SH,20250403,5845.5045,5842.6167,5906.7057,5817.9662,5899.0865,-53.582,-0.9083,134938625.0,173662140.192
000905.SH,20250402,5899.0865,5884.8925,5936.6467,5884.1126,5892.8502,6.2363,0.1058,112159960.0,140642079.451
000905.SH,20250401,5892.8502,5870.9424,5931.5038,5867.848,5857.7721,35.0781,0.5988,136448602.0,179327950.525
000905.SH,20250331,5857.7721,5886.956,5908.3026,5802.4187,5916.0314,-58.2593,-0.9848,154256090.0,189563392.181
000905.SH,20250328,5916.0314,5954.7297,5973.8015,5904.9159,5957.6017,-41.5703,-0.6978,134261927.0,168899478.619
000905.SH,20250327,5957.6017,5932.5165,6000.6615,5891.7664,5948.4986,9.1031,0.153,134708904.0,176590477.346
000905.SH,20250326,5948.4986,5935.8537,5983.4739,5935.8537,5946.951,1.5476,0.026,136702111.0,171695842.017
000905.SH,20250325,5946.951,5969.4164,5993.9312,5929.6734,5969.0789,-22.1279,-0.3707,147483948.0,192227014.821
000905.SH,20250324,5969.0789,5973.0466,5987.0606,5882.878,5971.9302,-2.8513,-0.0477,169192435.0,220094329.256
000905.SH,20250321,5971.9302,6038.9899,6071.0846,5951.7952,6059.4859,-87.5557,-1.4449,174103785.0,225801003.415
000905.SH,20250320,6059.4859,6094.8426,6109.1829,6055.3811,6101.4369,-41.951,-0.6876,147187865.0,203849586.196
000905.SH,20250319,6101.4369,6117.4233,6128.2297,6076.5643,6133.3018,-31.8649,-0.5195,153893780.0,218871992.193
000905.SH,20250318,6133.3018,6126.0357,6161.2281,6114.2064,6108.0176,25.2842,0.414,166023043.0,236342189.394
000905.SH,20250317,6108.0176,6119.6064,6129.8543,6098.5079,6099.9809,8.0367,0.1317,184317273.0,250160671.108
000905.SH,20250314,6099.9809,5993.9702,6099.9809,5978.5321,5993.967,106.0139,1.7687,219245834.0,289038080.526
000905.SH,20250313,5993.967,6032.8545,6050.1782,5947.7816,6040.4965,-46.5295,-0.7703,193710717.0,253622427.436
000905.SH,20250312,6040.4965,6068.3762,6098.2352,6038.8221,6044.9742,-4.4777,-0.0741,184763537.0,267906301.207
000905.SH,20250311,6044.9742,5944.4197,6044.9742,5942.9124,6013.6191,31.3551,0.5214,173855643.0,245205106.219
000905.SH,20250310,6013.6191,6022.6814,6041.5219,5971.8131,6013.7747,-0.1556,-0.0026,173044336.0,248513462.299
000905.SH,20250307,6013.7747,6029.3813,6067.3481,5989.3206,6047.7734,-33.9987,-0.5622,207437149.0,301122130.059
000905.SH,20250306,6047.7734,5980.3798,6062.5412,5972.6039,5950.7034,97.07,1.6312,213042852.0,320542701.864
000905.SH,20250305,5950.7034,5937.1074,5955.8988,5892.5332,5937.6302,13.0732,0.2202,163071500.0,241738025.093
000905.SH,20250304,5937.6302,5845.4712,5943.0837,5843.4633,5885.7696,51.8606,0.8811,153922211.0,231145314.805
000905.SH,20250303,5885.7696,5875.9522,5964.2684,5851.56,5859.8708,25.8988,0.442,185024581.0,266955659.876
000905.SH,20250228,5859.8708,5997.9175,6007.4724,5847.1512,6028.9856,-169.1148,-2.805,205223814.0,298290643.729
000905.SH,20250227,6028.9856,6050.1864,6064.491,5940.3354,6051.7401,-22.7545,-0.376,216652930.0,328254761.443
000905.SH,20250226,6051.7401,5990.2901,6055.8727,5973.8574,5979.9653,71.7748,1.2003,210860898.0,327265336.672
000905.SH,20250225,5979.9653,5967.0367,6044.7559,5956.1761,6044.973,-65.0077,-1.0754,206833953.0,340316449.158
000905.SH,20250224,6044.973,6057.3801,6079.0169,6007.1786,6057.0648,-12.0918,-0.1996,243813798.0,382362648.271
000905.SH,20250221,6057.0648,5969.6462,6061.824,5943.1948,5957.5465,99.5183,1.6705,252317128.0,396960769.354
000905.SH,20250220,5957.5465,5941.599,5977.7301,5920.5681,5943.8823,13.6642,0.2299,198207411.0,305885399.073
000905.SH,20250219,5943.8823,5834.9547,5945.3461,5831.4815,5840.7112,103.1711,1.7664,205298305.0,313960331.577
000905.SH,20250218,5840.7112,5935.4993,5947.9342,5816.0511,5948.7197,-108.0085,-1.8157,214941482.0,306905660.929
000905.SH,20250217,5948.7197,5979.8446,5985.3644,5906.2661,5947.796,0.9237,0.0155,233901689.0,356940293.724
000905.SH,20250214,5947.796,5893.9342,5954.477,5886.9501,5898.2611,49.5349,0.8398,211914261.0,306627494.264
000905.SH,20250213,5898.2611,5938.2034,5957.5798,5889.6952,5940.5299,-42.2688,-0.7115,228281839.0,313080162.906
000905.SH,20250212,5940.5299,5841.3618,5940.5374,5841.3188,5858.2805,82.2494,1.404,195446155.0,285438865.879
000905.SH,20250211,5858.2805,5890.3732,5890.3732,5827.3777,5888.5509,-30.2704,-0.5141,181920508.0,260281069.641
000905.SH,20250210,5888.5509,5858.2425,5895.4055,5836.1713,5833.9883,54.5626,0.9353,209300905.0,286253277.531
000905.SH,20250207,5833.9883,5750.2887,5889.4279,5741.7326,5747.9012,86.0871,1.4977,232718863.0,327949184.791
000905.SH,20250206,5747.9012,5606.8707,5749.0232,5597.3246,5614.3872,133.514,2.3781,181428193.0,257122087.04
000905.SH,20250205,5614.3872,5643.1747,5646.0366,5588.5558,5589.3432,25.044,0.4481,155674141.0,214999512.245
000905.SH,20250127,5589.3432,5660.4848,5676.0261,5589.3432,5649.9504,-60.6072,-1.0727,136546056.0,163085841.548
000905.SH,20250124,5649.9504,5570.48,5660.4337,5570.48,5584.2548,65.6956,1.1764,139438058.0,180858845.316
000905.SH,20250123,5584.2548,5659.3685,5717.6887,5584.2548,5607.0594,-22.8046,-0.4067,163419987.0,203633761.249
000905.SH,20250122,5607.0594,5606.8472,5618.581,5567.7793,5633.9249,-26.8655,-0.4769,115374996.0,158106585.549
000905.SH,20250121,5633.9249,5639.6037,5642.9168,5573.5002,5614.3311,19.5938,0.349,126491300.0,170909135.203
000905.SH,20250120,5614.3311,5621.9247,5665.183,5598.1584,5587.2939,27.0372,0.4839,135712507.0,173426107.632
000905.SH,20250117,5587.2939,5524.205,5621.9367,5519.4109,5545.6336,41.6603,0.7512,126691174.0,164437435.727
000905.SH,20250116,5545.6336,5546.6997,5633.8547,5508.9146,5522.459,23.1746,0.4196,149318085.0,182995873.632
000905.SH,20250115,5522.459,5559.5785,5569.1895,5509.5757,5572.2722,-49.8132,-0.8939,138393243.0,169060453.013
000905.SH,20250114,5572.2722,5393.763,5582.835,5378.5875,5381.6974,190.5748,3.5412,172142860.0,208083727.936
000905.SH,20250113,5381.6974,5319.7013,5422.0115,5319.2741,5369.2811,12.4163,0.2312,119682937.0,139406540.969
000905.SH,20250110,5369.2811,5449.0014,5496.3833,5369.2811,5456.5863,-87.3052,-1.6,130179553.0,159984103.633
000905.SH,20250109,5456.5863,5437.8128,5493.6799,5436.7036,5461.5861,-4.9998,-0.0915,129832627.0,156798867.821
000905.SH,20250108,5461.5861,5462.324,5501.6555,5326.9259,5484.6847,-23.0986,-0.4211,163849915.0,181141237.076
000905.SH,20250107,5484.6847,5429.1729,5485.5848,5405.1327,5427.1007,57.584,1.061,145065278.0,159836326.878
000905.SH,20250106,5427.1007,5421.0653,5482.6253,5384.3326,5427.8041,-0.7034,-0.013,146265658.0,156743673.376
