indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
600519.SH,20240422,1675.06,0.2384,0.5454,1.09,28.1559,28.1559,9.7567,14.2471,14.2471,2.6875,2.6875,125619.78,125619.78,54913.6536,210420668.6868,210420668.6868
600519.SH,20240419,1646.64,0.1871,0.4279,0.84,27.6782,27.6782,9.5911,14.0054,14.0054,2.7339,2.7339,125619.78,125619.78,54913.6536,206850554.5392,206850554.5392
600519.SH,20240418,1670.78,0.2115,0.4838,0.97,28.084,28.084,9.7317,14.2107,14.2107,2.6944,2.6944,125619.78,125619.78,54913.6536,209883016.0284,209883016.0284
600519.SH,20240417,1667.0,0.1976,0.452,0.89,28.0204,28.0204,9.7097,14.1786,14.1786,2.7005,2.7005,125619.78,125619.78,54913.6536,209408173.26,209408173.26
600519.SH,20240416,1670.0,0.2091,0.4783,0.95,28.0709,28.0709,9.7272,14.2041,14.2041,2.6956,2.6956,125619.78,125619.78,54913.6536,209785032.6,209785032.6
600519.SH,20240415,1672.98,0.2851,0.6523,1.11,28.121,28.121,9.7446,14.2294,14.2294,2.6908,2.6908,125619.78,125619.78,54913.6536,210159379.5444,210159379.5444
600519.SH,20240412,1634.03,0.2129,0.487,0.81,27.4663,27.4663,9.5177,13.8981,13.8981,2.755,2.755,125619.78,125619.78,54913.6536,205266489.1134,205266489.1134
600519.SH,20240411,1648.0,0.1812,0.4146,0.68,27.7011,27.7011,9.5991,14.017,14.017,2.7316,2.7316,125619.78,125619.78,54913.6536,207021397.44,207021397.44
600519.SH,20240410,1647.98,0.22,0.5032,0.83,27.7007,27.7007,9.5989,14.0168,14.0168,2.7316,2.7316,125619.78,125619.78,54913.6536,207018885.0444,207018885.0444
600519.SH,20240409,1662.22,0.2037,0.466,0.83,27.9401,27.9401,9.6819,14.1379,14.1379,2.7082,2.7082,125619.78,125619.78,54913.6536,208807710.7116,208807710.7116
600519.SH,20240408,1666.66,0.471,1.0774,2.47,28.0147,28.0147,9.7077,14.1757,14.1757,2.701,2.701,125619.78,125619.78,54913.6536,209365462.5348,209365462.5348
600519.SH,20240403,1715.11,0.2312,0.5289,1.33,28.8291,28.8291,9.9899,14.5878,14.5878,2.6247,2.6247,125619.78,125619.78,54913.6536,215451740.8758,215451740.8758
600519.SH,20240402,1713.99,0.2026,0.4634,1.14,34.3309,30.2434,11.1095,17.3498,15.3565,2.6264,2.6264,125619.78,125619.78,54913.6536,215311046.7222,215311046.7222
600519.SH,20240401,1721.33,0.216,0.4941,1.25,34.4779,30.3729,11.1571,17.4241,15.4223,2.6152,2.6152,125619.78,125619.78,54913.6536,216233095.9074,216233095.9074
600519.SH,20240329,1702.9,0.1071,0.245,0.56,34.1087,30.0477,11.0376,17.2376,15.2572,2.6435,2.6435,125619.78,125619.78,54913.6536,213917923.362,213917923.362
600519.SH,20240328,1701.64,0.1962,0.4487,1.09,34.0835,30.0254,11.0295,17.2248,15.2459,2.6455,2.6455,125619.78,125619.78,54913.6536,213759642.4392,213759642.4392
600519.SH,20240327,1701.0,0.1442,0.3298,0.82,34.0707,30.0141,11.0253,17.2183,15.2402,2.6465,2.6465,125619.78,125619.78,54913.6536,213679245.78,213679245.78
600519.SH,20240326,1709.29,0.2234,0.5111,1.33,34.2367,30.1604,11.0791,17.3022,15.3144,2.6337,2.6337,125619.78,125619.78,54913.6536,214720633.7562,214720633.7562
600519.SH,20240325,1689.01,0.1948,0.4457,1.14,33.8305,29.8026,10.9476,17.097,15.1327,2.6653,2.6653,125619.78,125619.78,54913.6536,212173064.6178,212173064.6178
600519.SH,20240322,1701.35,0.2026,0.4636,1.28,34.0777,30.0203,11.0276,17.2219,15.2433,2.646,2.646,125619.78,125619.78,54913.6536,213723212.703,213723212.703
600519.SH,20240321,1709.0,0.1321,0.3022,0.81,34.2309,30.1553,11.0772,17.2993,15.3118,2.6341,2.6341,125619.78,125619.78,54913.6536,214684204.02,214684204.02
600519.SH,20240320,1709.6,0.1214,0.2777,0.67,34.2429,30.1659,11.0811,17.3054,15.3172,2.6332,2.6332,125619.78,125619.78,54913.6536,214759575.888,214759575.888
600519.SH,20240319,1708.02,0.1906,0.4361,0.83,34.2113,30.138,11.0708,17.2894,15.3031,2.6356,2.6356,125619.78,125619.78,54913.6536,214561096.6356,214561096.6356
