indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount
600519.SH,20240312,13310.3,13743.73,13283.27,13711.51,13314.62,396.8899999999994,2.98,54226.54,9393309.052
600519.SH,20240311,13161.48,13349.12,13147.18,13314.62,13133.43,181.1900000000005,1.38,29895.09,5048394.347
600519.SH,20240308,13205.17,13253.26,13122.58,13133.43,13229.29,-95.86000000000058,-0.72,22156.23,3710678.522
600519.SH,20240307,13200.77,13277.77,13185.05,13229.29,13205.09,24.200000000000728,0.18,21599.12,3633934.774
600519.SH,20240306,13287.2,13318.63,13185.21,13205.09,13319.42,-114.32999999999993,-0.86,22142.48,3725582.802
600519.SH,20240305,13128.56,13334.35,13096.1,13319.42,13171.69,147.72999999999956,1.12,36238.37,6102136.582
600519.SH,20240304,13192.91,13208.55,13122.58,13171.69,13240.53,-68.84000000000015,-0.52,26484.77,4434401.015
600519.SH,20240301,13279.34,13318.4,13174.68,13240.53,13318.63,-78.09999999999854,-0.59,26867.96,4526845.398
600519.SH,20240229,13212.95,13330.42,13194.48,13318.63,13212.95,105.67999999999847,0.8,24758.33,4184917.973
600519.SH,20240228,13270.86,13330.97,13153.7,13212.95,13275.42,-62.469999999999345,-0.47,31867.31,5371312.847
600519.SH,20240227,13224.34,13302.29,13185.05,13275.42,13318.47,-43.04999999999927,-0.32,22079.85,3718478.358
600519.SH,20240226,13420.78,13426.6,13240.21,13318.47,13468.63,-150.15999999999985,-1.11,27318.32,4625594.409
600519.SH,20240223,13445.22,13549.49,13358.08,13468.63,13502.34,-33.710000000000946,-0.25,27305.89,4670706.95
600519.SH,20240222,13416.85,13538.72,13362.08,13502.34,13496.69,5.649999999999636,0.04,22793.61,3905984.695
600519.SH,20240221,13090.92,13601.51,13059.33,13496.69,13122.19,374.5,2.85,46154.07,7868784.082
600519.SH,20240220,13337.18,13337.18,13016.59,13122.19,13322.01,-199.8199999999997,-1.5,34470.07,5755266.893
600519.SH,20240219,13655.49,13655.96,13263.63,13322.01,13405.07,-83.05999999999949,-0.62,36977.44,6288277.98
600519.SH,20240208,13515.15,13554.36,13240.06,13405.07,13444.28,-39.210000000000946,-0.29,46756.54,7953438.044
