macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
SPX,5939.96,5912.17,5943.13,5873.8,5888.55,23.62,0.4,1.18,2851904.0,20250529
SPX,5925.54,5888.55,5939.92,5881.88,5921.54,-32.99,-0.56,0.98,2613507.0,20250528
SPX,5854.07,5921.54,5924.33,5854.07,5802.82,118.72,2.05,1.21,2882838.0,20250527
SPX,5781.89,5802.82,5829.51,5767.41,5842.01,-39.19,-0.67,1.06,2550252.0,20250523
SPX,5841.26,5842.01,5878.08,5825.82,5844.61,-2.6,-0.04,0.89,2780782.0,20250522
SPX,5910.18,5844.61,5938.37,5830.91,5940.46,-95.85,-1.61,1.81,3112418.0,20250521
SPX,5944.66,5940.46,5953.06,5909.26,5963.6,-23.14,-0.39,0.73,2543563.0,20250520
SPX,5902.88,5963.6,5968.61,5895.69,5958.38,5.22,0.09,1.22,2576640.0,20250519
SPX,5929.09,5958.38,5958.62,5907.36,5916.93,41.45,0.7,0.87,2931804.0,20250516
SPX,5869.82,5916.93,5924.21,5865.16,5892.58,24.35,0.41,1.0,3138352.0,20250515
SPX,5896.74,5892.58,5906.55,5872.11,5886.55,6.03,0.1,0.59,3445233.0,20250514
SPX,5854.15,5886.55,5906.64,5845.02,5844.19,42.36,0.72,1.05,3512934.0,20250513
SPX,5807.2,5844.19,5845.37,5786.08,5659.91,184.28,3.26,1.05,3756162.0,20250512
SPX,5679.65,5659.91,5691.69,5644.15,5663.94,-4.03,-0.07,0.84,2429495.0,20250509
SPX,5663.6,5663.94,5720.1,5635.38,5631.28,32.66,0.58,1.5,3208687.0,20250508
SPX,5614.18,5631.28,5654.73,5578.64,5606.91,24.37,0.43,1.36,3197894.0,20250507
SPX,5605.87,5606.91,5649.58,5586.04,5650.38,-43.47,-0.77,1.12,2767165.0,20250506
SPX,5655.32,5650.38,5683.38,5634.48,5686.67,-36.29,-0.64,0.86,2693789.0,20250505
