macro_im_ts_code,macro_im_open,macro_im_close,macro_im_high,macro_im_low,macro_im_pre_close,macro_im_change,macro_im_pct_chg,macro_im_swing,macro_im_vol,trade_date
HSI,17386.75,17660.02,17715.77,17368.14,17422.12,237.9,1.37,2.0,1665721.0,20240917
HSI,17252.77,17422.12,17422.12,17177.08,17369.09,53.03,0.31,1.41,1127924.0,20240916
HSI,17298.35,17369.09,17540.81,17298.35,17240.39,128.7,0.75,1.41,2139978.0,20240913
HSI,17177.3,17240.39,17334.19,17127.25,17108.71,131.68,0.77,1.21,2374153.0,20240912
HSI,17051.84,17108.71,17124.96,16964.28,17234.09,-125.38,-0.73,0.93,3071143.0,20240911
HSI,17205.42,17234.09,17297.95,17133.5,17196.96,37.13,0.22,0.96,2786726.0,20240910
HSI,17261.89,17196.96,17305.91,17067.45,17444.3,-247.34,-1.42,1.37,3841864.0,20240909
HSI,17469.96,17444.3,17555.61,17332.49,17457.34,-13.04,-0.07,1.28,2558635.0,20240905
HSI,17474.74,17457.34,17531.05,17333.3,17651.49,-194.15,-1.1,1.12,2601237.0,20240904
HSI,17665.93,17651.49,17725.51,17583.7,17691.97,-40.48,-0.23,0.8,2470760.0,20240903
HSI,17862.59,17691.97,17862.59,17645.92,17989.07,-297.1,-1.65,1.2,3077120.0,20240902
HSI,17794.41,17989.07,18202.6,17778.1,17786.32,202.75,1.14,2.39,4753806.0,20240830
HSI,17614.41,17786.32,17797.17,17502.53,17692.45,93.87,0.53,1.67,2858173.0,20240829
HSI,17847.99,17692.45,17879.01,17659.29,17874.67,-182.22,-1.02,1.23,2184592.0,20240828
HSI,17663.8,17874.67,17879.27,17624.42,17798.73,75.94,0.43,1.43,2702699.0,20240827
HSI,17709.27,17798.73,17826.05,17709.27,17612.1,186.63,1.06,0.66,1970099.0,20240826
HSI,17521.18,17612.1,17635.7,17493.08,17641.0,-28.9,-0.16,0.81,2054122.0,20240823
HSI,17497.63,17641.0,17652.8,17389.94,17391.01,249.99,1.44,1.51,2945730.0,20240822
