market_margin_trade_date,market_margin_exchange_id,market_margin_rzye,market_margin_rzmre,market_margin_rzche,market_margin_rqye,market_margin_rqmcl,market_margin_rzrqye,market_margin_rqyl
20240702,BSE,1046460208.0,26173370.0,89695241.0,230736.0,3100.0,1046690944.0,18593.0
20240702,SZSE,683064601744.0,24320375056.0,23638546768.0,11241523198.0,64379460.0,694306124942.0,1736689428.0
20240701,BSE,1046329408.0,27440403.0,89148311.0,224654.0,1000.0,1046554062.0,15493.0
20240701,SSE,765658553562.0,27590093082.0,28420477363.0,20842211111.0,142450621.0,786500764673.0,4311756661.0
20240701,SZSE,682399585181.0,26476352902.0,25834583274.0,11162219964.0,58707063.0,693561805145.0,1719902481.0
20240628,SSE,766497289908.0,28475677753.0,32195589774.0,20595113603.0,125220597.0,787092403511.0,4266065313.0
20240628,BSE,1046881243.0,30919663.0,97860027.0,212628.0,2000.0,1047093871.0,14493.0
20240628,SZSE,681783168835.0,26712180350.0,29142966263.0,10975981991.0,69794448.0,692759150826.0,1714882956.0
20240627,BSE,1049408358.0,24457644.0,90088488.0,197910.0,13133.0,1049606268.0,13493.0
20240627,SSE,770257844269.0,23099932421.0,24889708259.0,20491507553.0,160877573.0,790749351822.0,4300178692.0
20240627,SZSE,684236286343.0,22629067908.0,24201055131.0,10910438645.0,81855929.0,695146724988.0,1712956131.0
20240626,BSE,1058817420.0,35502241.0,97384292.0,26163.0,380.0,1058843583.0,1647.0
20240626,SSE,772054530413.0,26378321273.0,26946144122.0,20733970582.0,161342832.0,792788500995.0,4288153024.0
20240626,SZSE,685828578191.0,25750766461.0,25157294240.0,11183247766.0,86449694.0,697011825957.0,1695669030.0
20240625,SZSE,685225463572.0,21819904568.0,24414337015.0,10720226873.0,59511060.0,695945690445.0,1696972652.0
20240625,SSE,772634470591.0,26539719303.0,30087553520.0,20204510588.0,100583077.0,792838981179.0,4238623856.0
20240625,BSE,1059295369.0,30097825.0,95254243.0,51087.0,5360.0,1059346456.0,6267.0
20240624,BSE,1061814006.0,33758125.0,100812897.0,133666.0,8500.0,1061947672.0,9407.0
20240624,SSE,776285059177.0,28049707057.0,30603361610.0,20712691731.0,128067730.0,796997750908.0,4275699182.0
20240624,SZSE,687866770172.0,23773078634.0,26792969669.0,10935457003.0,87777092.0,698802227175.0,1724747266.0
20240621,SSE,778854571234.0,25545725515.0,28361004120.0,21209887309.0,102865190.0,800064458543.0,4297769755.0
20240621,BSE,1068471641.0,35158448.0,104063083.0,110437.0,0.0,1068582078.0,6527.0
20240621,SZSE,690957548097.0,21612774352.0,23877991245.0,11377814655.0,57784980.0,702335362752.0,1712542513.0
20240620,BSE,1082311922.0,39503437.0,110222710.0,112199.0,0.0,1082424121.0,6527.0
20240620,SSE,781683922089.0,31389282481.0,33026834887.0,21200734389.0,137563427.0,802884656478.0,4310790524.0
20240620,SZSE,693251710067.0,28130736652.0,29256304394.0,11359916056.0,67944969.0,704611626123.0,1720082854.0
20240619,BSE,1080819119.0,52098452.0,121495353.0,114157.0,0.0,1080933276.0,6527.0
20240619,SSE,783435205481.0,29066917833.0,29938074452.0,21223326729.0,111097177.0,804658532210.0,4289475346.0
20240619,SZSE,694353227932.0,29808939140.0,29000163700.0,11502682244.0,64276681.0,705855910176.0,1701180585.0
20240618,BSE,1086216793.0,35482707.0,104196436.0,115463.0,0.0,1086332256.0,6527.0
20240618,SSE,784295044737.0,31747514080.0,30404944530.0,21346448335.0,121478132.0,805641493072.0,4329563616.0
20240618,SZSE,693575472477.0,32765352979.0,31055639439.0,11488012490.0,61364079.0,705063484967.0,1684769556.0
20240617,BSE,1100175912.0,37808736.0,112918381.0,115267.0,0.0,1100291179.0,6527.0
20240617,SSE,782964014854.0,30623474138.0,28615046044.0,21417820146.0,109571144.0,804381835000.0,4392270920.0
20240617,SZSE,691896578332.0,29693192031.0,28557964127.0,11622511728.0,51834939.0,703519090060.0,1731620581.0
20240614,SSE,780964504299.0,32986065555.0,34914126572.0,21704145444.0,130259703.0,802668649743.0,4436275886.0
20240614,BSE,1097431359.0,40561235.0,120547574.0,113570.0,5620.0,1097544929.0,6527.0
20240614,SZSE,690787472217.0,30160672707.0,32278509469.0,11912591563.0,58947822.0,702700063780.0,1777839463.0
20240613,BSE,1112052432.0,39332071.0,124458531.0,116252.0,0.0,1112168684.0,33807.0
20240613,SSE,782907000391.0,32340784920.0,31717403682.0,21963458535.0,108712268.0,804870458926.0,4473805136.0
20240613,SZSE,692938126061.0,30152093366.0,29920404997.0,11919149720.0,61674377.0,704857275781.0,1816633835.0
20240612,BSE,1110379887.0,33004340.0,114919896.0,279778.0,35700.0,1110659665.0,44300.0
20240612,SSE,782314849008.0,29423805378.0,29029091876.0,21981450244.0,100667653.0,804296299252.0,4480551376.0
20240612,SZSE,692736180825.0,27026070115.0,25637670255.0,11872813501.0,64666610.0,704608994326.0,1809050029.0
20240611,BSE,1107467946.0,32537562.0,112231697.0,144374.0,4413.0,1107612320.0,11000.0
20240611,SSE,781944510323.0,33012758982.0,29319883252.0,22043074153.0,117452658.0,803987584476.0,4483404606.0
20240611,SZSE,691368473524.0,25612549299.0,24550075975.0,11593911258.0,62187918.0,702962384782.0,1787610842.0
20240607,SSE,778301107436.0,28491182922.0,32150380446.0,22261330928.0,110675179.0,800562438364.0,4516849877.0
20240607,BSE,1105792195.0,26036495.0,101874785.0,113031.0,5680.0,1105905226.0,6587.0
20240607,SZSE,690345675697.0,26545745117.0,30688005341.0,11884009460.0,103374119.0,702229685157.0,1854644427.0
20240606,BSE,1118523605.0,44358063.0,114121452.0,99648.0,4040.0,1118623253.0,4947.0
20240606,SSE,782007095818.0,35451488862.0,37356833345.0,23709235295.0,115232559.0,805716331113.0,4711172397.0
20240606,SZSE,693041874629.0,31704216475.0,35773671402.0,13046487420.0,72299838.0,706088362049.0,1939158330.0
